SalesID,OrderDate,CustomerID,ProductID,Quantity,Cost,SalesAmount,Profit
ORD100038,2023-05-25,CUST1137,PROD149,6,296.43,2649.47,870.89
ORD100039,2024-03-01,CUST1179,PROD119,8,341.85,3042.95,308.15
ORD100040,2022-06-08,CUST1005,PROD114,3,130.55,573.6,181.95
ORD100041,2023-05-11,CUST1033,PROD136,5,17.04,95.69,10.49
ORD100042,2023-09-19,CUST1129,PROD131,2,189.48,518.69,139.73
ORD100043,2023-06-08,CUST1063,PROD106,7,158.64,1376.86,266.38
ORD100044,2024-03-09,CUST1084,PROD137,2,174.59,447.72,98.54
ORD100045,2022-04-01,CUST1189,PROD129,7,356.62,2966.79,470.45
ORD100046,2022-10-18,CUST1091,PROD136,8,17.04,168.41,32.09
ORD100047,2023-07-21,CUST1031,PROD137,8,174.59,1708.53,311.81
ORD100048,2023-11-07,CUST1186,PROD145,8,474.69,5254.1,1456.58
ORD100049,2024-12-31,CUST1131,PROD128,5,19.97,144.63,44.78
ORD100050,2024-05-27,CUST1084,PROD116,9,56.79,645.9,134.79
ORD100051,2023-09-17,CUST1138,PROD105,4,255.4,1457.3,435.7
ORD100052,2023-02-26,CUST1179,PROD118,4,371.35,1640.8,155.4
ORD100053,2024-12-28,CUST1073,PROD149,6,296.43,2516.83,738.25
ORD100054,2023-03-14,CUST1197,PROD117,6,177.5,1395.56,330.56
ORD100055,2024-11-03,CUST1141,PROD133,7,461.45,4630.39,1400.24
ORD100056,2022-04-12,CUST1060,PROD126,7,274.12,2282.68,363.84
ORD100057,2024-02-27,CUST1104,PROD123,7,174.14,1524.57,305.59
ORD100058,2024-05-14,CUST1081,PROD142,9,290.68,3607.85,991.73
ORD100059,2023-01-16,CUST1186,PROD116,6,56.79,490.45,149.71
ORD100060,2022-04-11,CUST1045,PROD121,3,356.71,1381.89,311.76
ORD100061,2024-02-05,CUST1153,PROD145,1,474.69,682.86,208.17
ORD100062,2024-06-20,CUST1131,PROD144,9,337.62,4008.88,970.3
ORD100063,2022-08-19,CUST1192,PROD121,5,356.71,2669.17,885.62
ORD100064,2023-05-20,CUST1014,PROD147,2,325.36,951.28,300.56
ORD100065,2023-10-25,CUST1198,PROD126,3,274.12,1031.45,209.09
ORD100066,2024-11-20,CUST1015,PROD146,3,6.34,28.19,9.17
ORD100067,2022-09-13,CUST1005,PROD143,7,349.16,3436.77,992.65
ORD100068,2023-06-16,CUST1054,PROD126,1,274.12,359.15,85.03
ORD100069,2023-10-23,CUST1000,PROD104,7,127.96,1340.37,444.65
ORD100070,2024-05-24,CUST1199,PROD138,4,313.0,1725.25,473.25
ORD100071,2023-08-10,CUST1189,PROD113,3,29.1,102.83,15.53
ORD100072,2022-05-04,CUST1081,PROD109,7,376.54,3019.59,383.81
ORD100073,2022-11-13,CUST1032,PROD106,7,158.64,1337.96,227.48
ORD100074,2024-01-12,CUST1058,PROD135,9,205.94,2584.1,730.64
ORD100075,2023-11-13,CUST1029,PROD112,6,431.85,3420.72,829.62
ORD100076,2022-07-08,CUST1159,PROD105,8,255.4,2572.1,528.9
ORD100077,2023-11-23,CUST1159,PROD131,5,189.48,1329.55,382.15
ORD100078,2022-03-01,CUST1018,PROD128,8,19.97,177.26,17.5
ORD100079,2023-05-06,CUST1107,PROD118,8,371.35,4234.67,1263.87
ORD100080,2023-06-26,CUST1102,PROD125,2,440.22,1232.01,351.57
ORD100081,2022-08-14,CUST1071,PROD128,9,19.97,210.66,30.93
ORD100082,2023-01-18,CUST1190,PROD135,5,205.94,1292.9,263.2
ORD100083,2022-08-05,CUST1019,PROD144,9,337.62,3388.14,349.56
ORD100084,2024-05-17,CUST1069,PROD115,2,225.84,498.98,47.3
ORD100085,2023-05-24,CUST1177,PROD131,2,189.48,567.87,188.91
ORD100086,2024-12-25,CUST1192,PROD147,6,325.36,2528.59,576.43
ORD100087,2023-03-24,CUST1129,PROD135,8,205.94,2057.44,409.92
ORD100088,2023-02-15,CUST1050,PROD128,3,19.97,70.6,10.69
ORD100089,2023-12-31,CUST1181,PROD131,3,189.48,808.82,240.38
ORD100090,2022-08-05,CUST1060,PROD111,7,462.46,4474.81,1237.59
ORD100091,2023-04-09,CUST1058,PROD125,9,440.22,4360.64,398.66
ORD100092,2024-12-03,CUST1116,PROD118,3,371.35,1569.13,455.08
ORD100093,2023-01-10,CUST1185,PROD132,5,267.62,1531.58,193.48
ORD100094,2024-07-04,CUST1146,PROD135,6,205.94,1828.07,592.43
ORD100095,2024-01-22,CUST1169,PROD126,2,274.12,676.03,127.79
ORD100096,2023-06-08,CUST1006,PROD130,9,8.9,102.56,22.46
ORD100097,2024-07-18,CUST1171,PROD104,3,127.96,423.03,39.15
ORD100098,2022-04-30,CUST1160,PROD143,9,349.16,4492.93,1350.49
ORD100099,2022-10-10,CUST1075,PROD114,3,130.55,479.09,87.44
ORD100100,2023-07-15,CUST1123,PROD105,6,255.4,2026.72,494.32
ORD100101,2022-08-28,CUST1024,PROD132,7,267.62,2755.01,881.67
ORD100102,2023-11-26,CUST1050,PROD100,6,278.28,1940.98,271.3
ORD100103,2023-09-01,CUST1136,PROD146,4,6.34,36.69,11.33
ORD100104,2022-12-23,CUST1117,PROD104,7,127.96,1164.52,268.8
ORD100105,2023-08-23,CUST1083,PROD121,7,356.71,3670.0,1173.03
ORD100106,2023-05-30,CUST1002,PROD120,8,313.08,3578.99,1074.35
ORD100107,2022-09-19,CUST1028,PROD147,2,325.36,831.09,180.37
ORD100108,2024-07-23,CUST1038,PROD139,3,143.14,487.6,58.18
ORD100109,2023-09-05,CUST1174,PROD114,9,130.55,1306.64,131.69
ORD100110,2023-03-26,CUST1043,PROD105,7,255.4,2591.76,803.96
ORD100111,2023-07-26,CUST1097,PROD112,9,431.85,5012.67,1126.02
ORD100112,2024-06-20,CUST1116,PROD148,3,302.19,1237.9,331.33
ORD100113,2022-09-19,CUST1013,PROD103,4,203.85,1184.5,369.1
ORD100114,2022-02-08,CUST1045,PROD129,3,356.62,1307.22,237.36
ORD100115,2022-03-30,CUST1033,PROD133,4,461.45,2691.74,845.94
ORD100116,2023-01-06,CUST1010,PROD148,9,302.19,3021.63,301.92
ORD100117,2024-08-03,CUST1115,PROD137,1,174.59,211.6,37.01
ORD100118,2024-11-14,CUST1087,PROD118,4,371.35,2116.26,630.86
ORD100119,2023-02-02,CUST1125,PROD109,7,376.54,3798.92,1163.14
ORD100120,2023-04-30,CUST1077,PROD136,6,17.04,151.1,48.86
ORD100121,2022-03-23,CUST1115,PROD148,9,302.19,3321.32,601.61
ORD100122,2023-03-18,CUST1030,PROD103,3,203.85,863.57,252.02
ORD100123,2023-09-06,CUST1064,PROD148,1,302.19,451.49,149.3
ORD100124,2023-04-15,CUST1107,PROD105,8,255.4,2678.23,635.03
ORD100125,2022-07-03,CUST1199,PROD108,6,264.86,1908.64,319.48
ORD100126,2022-04-22,CUST1067,PROD109,7,376.54,2940.44,304.66
ORD100127,2024-02-19,CUST1126,PROD117,8,177.5,1993.48,573.48
ORD100128,2022-04-08,CUST1110,PROD142,1,290.68,335.89,45.21
ORD100129,2022-08-27,CUST1128,PROD138,9,313.0,3534.71,717.71
ORD100130,2023-02-08,CUST1095,PROD147,1,325.36,398.15,72.79
ORD100131,2024-11-01,CUST1136,PROD123,7,174.14,1544.13,325.15
ORD100132,2024-09-20,CUST1067,PROD144,8,337.62,3949.88,1248.92
ORD100133,2022-10-29,CUST1011,PROD103,5,203.85,1294.83,275.58
ORD100134,2024-02-14,CUST1151,PROD139,6,143.14,1258.28,399.44
ORD100135,2023-08-25,CUST1020,PROD103,9,203.85,2609.17,774.52
ORD100136,2023-05-09,CUST1001,PROD143,2,349.16,848.7,150.38
ORD100137,2023-07-05,CUST1198,PROD105,2,255.4,626.87,116.07
ORD100138,2022-02-21,CUST1068,PROD144,9,337.62,3791.96,753.38
ORD100139,2024-11-06,CUST1170,PROD111,9,462.46,5586.67,1424.53
ORD100140,2024-02-11,CUST1099,PROD141,5,62.27,426.43,115.08
ORD100141,2023-03-07,CUST1124,PROD143,4,349.16,2079.45,682.81
ORD100142,2024-02-10,CUST1022,PROD136,7,17.04,175.41,56.13
ORD100143,2023-10-08,CUST1158,PROD115,3,225.84,911.09,233.57
ORD100144,2024-02-23,CUST1038,PROD130,6,8.9,59.73,6.33
ORD100145,2024-04-26,CUST1075,PROD100,8,278.28,2934.46,708.22
ORD100146,2022-06-30,CUST1052,PROD116,2,56.79,143.28,29.7
ORD100147,2022-09-21,CUST1098,PROD133,2,461.45,1216.3,293.4
ORD100148,2023-11-23,CUST1195,PROD145,8,474.69,4238.3,440.78
ORD100149,2024-02-01,CUST1113,PROD143,4,349.16,2092.59,695.95
ORD100150,2024-08-05,CUST1192,PROD107,5,189.65,1064.68,116.43
ORD100151,2023-11-27,CUST1006,PROD117,8,177.5,1716.88,296.88
ORD100152,2023-09-18,CUST1033,PROD137,4,174.59,788.34,89.98
ORD100153,2023-01-31,CUST1029,PROD141,4,62.27,328.55,79.47
ORD100154,2023-03-28,CUST1085,PROD138,4,313.0,1553.39,301.39
ORD100155,2023-05-23,CUST1014,PROD135,3,205.94,772.35,154.53
ORD100156,2023-05-20,CUST1052,PROD149,6,296.43,2517.88,739.3
ORD100157,2023-01-07,CUST1086,PROD117,5,177.5,1297.18,409.68
ORD100158,2022-12-16,CUST1091,PROD115,3,225.84,790.18,112.66
ORD100159,2023-09-07,CUST1195,PROD142,5,290.68,1760.93,307.53
ORD100160,2024-06-26,CUST1113,PROD125,1,440.22,567.48,127.26
ORD100161,2022-01-04,CUST1094,PROD108,8,264.86,2426.44,307.56
ORD100162,2022-06-15,CUST1103,PROD145,2,474.69,1191.11,241.73
ORD100163,2024-08-27,CUST1174,PROD145,9,474.69,5215.66,943.45
ORD100164,2023-06-08,CUST1087,PROD115,6,225.84,1990.27,635.23
ORD100165,2024-02-24,CUST1024,PROD147,3,325.36,1151.2,175.12
ORD100166,2024-12-20,CUST1141,PROD143,9,349.16,4363.23,1220.79
ORD100167,2023-09-28,CUST1160,PROD136,6,17.04,121.29,19.05
ORD100168,2022-04-14,CUST1032,PROD135,6,205.94,1668.44,432.8
ORD100169,2023-12-01,CUST1118,PROD134,6,49.3,394.24,98.44
ORD100170,2022-05-10,CUST1025,PROD144,2,337.62,866.66,191.42
ORD100171,2023-03-25,CUST1073,PROD101,1,139.47,198.99,59.52
ORD100172,2024-05-03,CUST1101,PROD135,5,205.94,1224.4,194.7
ORD100173,2024-06-23,CUST1108,PROD128,4,19.97,103.12,23.24
ORD100174,2023-04-22,CUST1145,PROD127,5,144.94,1081.95,357.25
ORD100175,2023-01-09,CUST1151,PROD141,4,62.27,292.25,43.17
ORD100176,2024-04-29,CUST1035,PROD102,9,230.44,2733.84,659.88
ORD100177,2023-03-16,CUST1121,PROD114,3,130.55,476.73,85.08
ORD100178,2024-11-05,CUST1035,PROD124,9,339.74,3514.85,457.19
ORD100179,2022-05-12,CUST1162,PROD124,7,339.74,3426.09,1047.91
ORD100180,2023-04-18,CUST1084,PROD142,8,290.68,3095.33,769.89
ORD100181,2022-08-02,CUST1197,PROD119,3,341.85,1365.55,340.0
ORD100182,2024-05-29,CUST1020,PROD105,4,255.4,1346.61,325.01
ORD100183,2024-04-13,CUST1006,PROD135,7,205.94,1692.11,250.53
ORD100184,2024-04-24,CUST1136,PROD135,2,205.94,546.75,134.87
ORD100185,2024-05-08,CUST1000,PROD133,2,461.45,1048.93,126.03
ORD100186,2024-01-20,CUST1061,PROD126,5,274.12,1881.91,511.31
ORD100187,2024-10-19,CUST1089,PROD112,8,431.85,3871.39,416.59
ORD100188,2023-10-19,CUST1102,PROD126,8,274.12,2578.18,385.22
ORD100189,2023-06-13,CUST1071,PROD146,6,6.34,46.32,8.28
ORD100190,2023-06-30,CUST1122,PROD115,1,225.84,273.62,47.78
ORD100191,2024-11-23,CUST1006,PROD140,3,108.83,465.2,138.71
ORD100192,2024-03-19,CUST1197,PROD137,2,174.59,424.29,75.11
ORD100193,2022-11-25,CUST1164,PROD115,3,225.84,765.32,87.8
ORD100194,2022-07-25,CUST1157,PROD135,4,205.94,928.54,104.78
ORD100195,2023-08-19,CUST1103,PROD121,5,356.71,2068.5,284.95
ORD100196,2024-01-25,CUST1019,PROD129,7,356.62,3139.59,643.25
ORD100197,2024-07-08,CUST1047,PROD122,9,106.44,1129.17,171.21
ORD100198,2022-11-21,CUST1150,PROD145,2,474.69,1133.57,184.19
ORD100199,2023-10-25,CUST1067,PROD138,6,313.0,2204.0,326.0
ORD100200,2024-12-24,CUST1135,PROD103,2,203.85,497.19,89.49
ORD100201,2022-03-21,CUST1056,PROD125,4,440.22,2292.57,531.69
ORD100202,2022-03-25,CUST1093,PROD115,1,225.84,336.17,110.33
ORD100203,2024-02-23,CUST1072,PROD125,1,440.22,623.7,183.48
ORD100204,2024-03-30,CUST1146,PROD103,6,203.85,1429.81,206.71
ORD100205,2023-11-17,CUST1150,PROD145,5,474.69,3373.01,999.56
ORD100206,2024-10-31,CUST1150,PROD120,9,313.08,3899.83,1082.11
ORD100207,2024-04-28,CUST1046,PROD144,4,337.62,1974.83,624.35
ORD100208,2024-12-30,CUST1039,PROD123,1,174.14,221.83,47.69
ORD100209,2022-01-22,CUST1056,PROD103,9,203.85,2654.44,819.79
ORD100210,2024-05-14,CUST1162,PROD123,8,174.14,1921.44,528.32
ORD100211,2022-12-30,CUST1060,PROD133,6,461.45,3348.01,579.31
ORD100212,2024-10-16,CUST1098,PROD103,7,203.85,1792.12,365.17
ORD100213,2023-04-12,CUST1141,PROD109,8,376.54,4323.86,1311.54
ORD100214,2022-12-05,CUST1028,PROD130,8,8.9,101.32,30.12
ORD100215,2023-11-29,CUST1059,PROD115,8,225.84,2164.82,358.1
ORD100216,2024-06-30,CUST1013,PROD100,7,278.28,2794.37,846.41
ORD100217,2022-08-05,CUST1161,PROD115,3,225.84,1001.58,324.06
ORD100218,2022-11-10,CUST1122,PROD139,9,143.14,1869.4,581.14
ORD100219,2024-04-06,CUST1154,PROD126,7,274.12,2403.38,484.54
ORD100220,2022-08-05,CUST1077,PROD124,1,339.74,447.26,107.52
ORD100221,2022-09-27,CUST1185,PROD147,1,325.36,467.99,142.63
ORD100222,2022-03-20,CUST1125,PROD126,9,274.12,3420.75,953.67
ORD100223,2022-08-24,CUST1074,PROD102,2,230.44,637.69,176.81
ORD100224,2022-02-14,CUST1087,PROD109,8,376.54,3657.26,644.94
ORD100225,2023-05-26,CUST1091,PROD134,6,49.3,397.65,101.85
ORD100226,2022-04-21,CUST1055,PROD132,9,267.62,2701.91,293.33
ORD100227,2023-06-25,CUST1085,PROD112,2,431.85,1052.73,189.03
ORD100228,2022-02-19,CUST1091,PROD121,4,356.71,1685.26,258.42
ORD100229,2024-08-03,CUST1023,PROD102,3,230.44,867.47,176.15
ORD100230,2022-12-10,CUST1199,PROD129,6,356.62,2985.53,845.81
ORD100231,2024-12-01,CUST1141,PROD108,8,264.86,2551.59,432.71
ORD100232,2024-08-01,CUST1020,PROD120,6,313.08,2200.76,322.28
ORD100233,2022-10-01,CUST1035,PROD132,3,267.62,1153.56,350.7
ORD100234,2024-11-10,CUST1163,PROD128,7,19.97,204.94,65.15
ORD100235,2023-11-10,CUST1197,PROD135,2,205.94,526.58,114.7
ORD100236,2022-08-25,CUST1037,PROD100,5,278.28,1666.62,275.22
ORD100237,2023-10-25,CUST1150,PROD146,8,6.34,60.91,10.19
ORD100238,2022-03-21,CUST1161,PROD110,9,170.09,1938.73,407.92
ORD100239,2022-03-16,CUST1018,PROD103,8,203.85,2317.33,686.53
ORD100240,2023-11-10,CUST1128,PROD146,4,6.34,33.59,8.23
ORD100241,2024-10-11,CUST1031,PROD101,8,139.47,1485.0,369.24
ORD100242,2023-01-09,CUST1030,PROD125,8,440.22,5251.87,1730.11
ORD100243,2023-03-03,CUST1173,PROD112,5,431.85,2442.26,283.01
ORD100244,2023-09-04,CUST1130,PROD110,9,170.09,1974.75,443.94
ORD100245,2024-02-01,CUST1149,PROD148,9,302.19,3513.22,793.51
ORD100246,2024-05-21,CUST1018,PROD122,2,106.44,281.34,68.46
ORD100247,2022-11-01,CUST1080,PROD145,3,474.69,1662.14,238.07
ORD100248,2024-02-11,CUST1099,PROD129,1,356.62,416.38,59.76
ORD100249,2023-04-17,CUST1012,PROD110,2,170.09,430.73,90.55
ORD100250,2022-10-13,CUST1072,PROD147,7,325.36,3057.54,780.02
ORD100251,2023-09-07,CUST1124,PROD103,9,203.85,2240.33,405.68
ORD100252,2023-03-27,CUST1188,PROD132,7,267.62,2433.48,560.14
ORD100253,2023-10-10,CUST1099,PROD136,9,17.04,229.23,75.87
ORD100254,2023-11-23,CUST1137,PROD109,6,376.54,2512.66,253.42
ORD100255,2022-09-02,CUST1031,PROD133,2,461.45,1187.17,264.27
ORD100256,2023-08-09,CUST1049,PROD135,9,205.94,2390.15,536.69
ORD100257,2023-02-06,CUST1063,PROD141,2,62.27,171.46,46.92
ORD100258,2022-09-01,CUST1107,PROD105,8,255.4,2465.24,422.04
ORD100259,2023-06-18,CUST1047,PROD130,9,8.9,113.74,33.64
ORD100260,2024-01-23,CUST1128,PROD143,3,349.16,1320.24,272.76
ORD100261,2022-09-24,CUST1173,PROD133,9,461.45,4726.44,573.39
ORD100262,2022-05-12,CUST1124,PROD105,8,255.4,2762.46,719.26
ORD100263,2024-09-26,CUST1054,PROD128,3,19.97,66.53,6.62
ORD100264,2024-03-08,CUST1038,PROD109,6,376.54,3132.94,873.7
ORD100265,2023-04-01,CUST1036,PROD137,8,174.59,1543.17,146.45
ORD100266,2023-04-10,CUST1158,PROD143,8,349.16,3739.27,945.99
ORD100267,2022-08-15,CUST1033,PROD145,3,474.69,2062.56,638.49
ORD100268,2023-03-22,CUST1099,PROD130,9,8.9,110.49,30.39
ORD100269,2022-05-15,CUST1105,PROD131,7,189.48,1790.24,463.88
ORD100270,2022-02-02,CUST1118,PROD101,7,139.47,1242.54,266.25
ORD100271,2023-01-10,CUST1126,PROD118,5,371.35,2292.12,435.37
ORD100272,2022-10-21,CUST1026,PROD103,2,203.85,508.86,101.16
ORD100273,2023-09-24,CUST1046,PROD105,3,255.4,957.76,191.56
ORD100274,2024-12-11,CUST1018,PROD117,9,177.5,2095.85,498.35
ORD100275,2022-01-09,CUST1088,PROD138,1,313.0,362.24,49.24
ORD100276,2024-03-08,CUST1041,PROD127,4,144.94,842.25,262.49
ORD100277,2023-10-31,CUST1019,PROD142,7,290.68,2747.64,712.88
ORD100278,2022-07-06,CUST1002,PROD107,6,189.65,1422.12,284.22
ORD100279,2022-04-22,CUST1042,PROD143,4,349.16,2085.02,688.38
ORD100280,2022-09-05,CUST1049,PROD143,7,349.16,3541.56,1097.44
ORD100281,2024-10-01,CUST1157,PROD140,5,108.83,730.64,186.49
ORD100282,2024-10-28,CUST1193,PROD131,2,189.48,473.21,94.25
ORD100283,2024-06-27,CUST1021,PROD132,8,267.62,2671.14,530.18
ORD100284,2024-01-18,CUST1118,PROD133,6,461.45,3119.45,350.75
ORD100285,2022-03-17,CUST1089,PROD141,6,62.27,462.17,88.55
ORD100286,2024-11-30,CUST1078,PROD126,7,274.12,2299.3,380.46
ORD100287,2024-10-21,CUST1121,PROD148,8,302.19,3247.75,830.23
ORD100288,2022-08-01,CUST1086,PROD130,7,8.9,86.48,24.18
ORD100289,2023-08-28,CUST1139,PROD124,6,339.74,2480.72,442.28
ORD100290,2023-03-08,CUST1054,PROD139,5,143.14,943.62,227.92
ORD100291,2023-07-28,CUST1024,PROD144,1,337.62,477.68,140.06
ORD100292,2022-04-14,CUST1069,PROD117,5,177.5,1204.13,316.63
ORD100293,2023-08-04,CUST1006,PROD117,6,177.5,1488.3,423.3
ORD100294,2023-05-10,CUST1061,PROD144,2,337.62,801.67,126.43
ORD100295,2024-08-30,CUST1041,PROD133,6,461.45,3748.88,980.18
ORD100296,2024-06-06,CUST1188,PROD105,4,255.4,1235.64,214.04
ORD100297,2023-09-10,CUST1107,PROD146,6,6.34,45.36,7.32
ORD100298,2023-07-03,CUST1175,PROD106,8,158.64,1533.57,264.45
ORD100299,2022-12-03,CUST1140,PROD139,1,143.14,178.44,35.3
ORD100300,2023-04-12,CUST1140,PROD128,9,19.97,231.56,51.83
ORD100301,2022-06-15,CUST1045,PROD120,7,313.08,2611.69,420.13
ORD100302,2024-01-05,CUST1037,PROD101,7,139.47,1210.59,234.3
ORD100303,2023-01-09,CUST1082,PROD117,2,177.5,517.8,162.8
ORD100304,2022-09-23,CUST1053,PROD107,6,189.65,1312.97,175.07
ORD100305,2022-02-20,CUST1040,PROD136,5,17.04,101.07,15.87
ORD100306,2024-01-08,CUST1136,PROD121,8,356.71,3208.33,354.65
ORD100307,2023-06-09,CUST1000,PROD140,8,108.83,1204.58,333.94
ORD100308,2023-05-15,CUST1032,PROD141,7,62.27,571.78,135.89
ORD100309,2022-12-25,CUST1140,PROD141,1,62.27,80.31,18.04
ORD100310,2024-11-26,CUST1020,PROD120,5,313.08,1743.49,178.09
ORD100311,2023-03-05,CUST1114,PROD110,3,170.09,757.51,247.24
ORD100312,2022-02-05,CUST1015,PROD107,4,189.65,1090.59,331.99
ORD100313,2024-02-22,CUST1023,PROD108,7,264.86,2647.82,793.8
ORD100314,2022-01-30,CUST1190,PROD149,4,296.43,1719.4,533.68
ORD100315,2022-03-02,CUST1054,PROD121,7,356.71,3522.75,1025.78
ORD100316,2024-10-13,CUST1108,PROD122,6,106.44,738.12,99.48
ORD100317,2024-04-15,CUST1087,PROD115,6,225.84,2017.11,662.07
ORD100318,2022-06-05,CUST1009,PROD125,3,440.22,1945.98,625.32
ORD100319,2024-11-23,CUST1109,PROD142,2,290.68,801.36,220.0
ORD100320,2023-03-12,CUST1105,PROD133,6,461.45,3368.97,600.27
ORD100321,2022-02-26,CUST1070,PROD135,8,205.94,1813.0,165.48
ORD100322,2022-10-05,CUST1163,PROD138,5,313.0,2025.65,460.65
ORD100323,2023-11-11,CUST1166,PROD130,1,8.9,11.91,3.01
ORD100324,2023-06-26,CUST1065,PROD144,4,337.62,2022.47,671.99
ORD100325,2022-08-30,CUST1033,PROD141,8,62.27,574.46,76.3
ORD100326,2024-07-14,CUST1101,PROD113,1,29.1,33.04,3.94
ORD100327,2024-08-15,CUST1097,PROD122,6,106.44,811.41,172.77
ORD100328,2022-04-25,CUST1161,PROD135,5,205.94,1441.97,412.27
ORD100329,2023-03-25,CUST1131,PROD109,3,376.54,1396.24,266.62
ORD100330,2023-09-28,CUST1086,PROD144,6,337.62,2764.99,739.27
ORD100331,2022-01-14,CUST1101,PROD127,8,144.94,1688.0,528.48
ORD100332,2024-02-09,CUST1122,PROD130,5,8.9,63.07,18.57
ORD100333,2022-09-16,CUST1178,PROD112,3,431.85,1477.75,182.2
ORD100334,2022-05-28,CUST1161,PROD114,8,130.55,1335.19,290.79
ORD100335,2023-05-16,CUST1003,PROD134,6,49.3,329.88,34.08
ORD100336,2024-08-03,CUST1077,PROD134,1,49.3,57.56,8.26
ORD100337,2023-01-07,CUST1162,PROD112,1,431.85,608.17,176.32
ORD100338,2024-08-18,CUST1079,PROD141,4,62.27,291.33,42.25
ORD100339,2022-09-15,CUST1171,PROD148,6,302.19,2399.74,586.6
ORD100340,2022-10-16,CUST1030,PROD133,4,461.45,2484.43,638.63
ORD100341,2023-11-30,CUST1169,PROD111,6,462.46,3226.09,451.33
ORD100342,2023-12-08,CUST1156,PROD127,7,144.94,1487.3,472.72
ORD100343,2024-01-03,CUST1137,PROD122,6,106.44,717.45,78.81
ORD100344,2024-12-25,CUST1011,PROD136,6,17.04,150.06,47.82
ORD100345,2022-12-06,CUST1153,PROD142,6,290.68,1997.88,253.8
ORD100346,2023-07-14,CUST1057,PROD102,2,230.44,673.05,212.17
ORD100347,2023-08-17,CUST1073,PROD126,7,274.12,2393.09,474.25
ORD100348,2023-02-25,CUST1062,PROD102,5,230.44,1631.44,479.24
ORD100349,2023-10-12,CUST1096,PROD100,8,278.28,2799.93,573.69
ORD100350,2024-02-26,CUST1149,PROD115,2,225.84,629.31,177.63
ORD100351,2023-11-25,CUST1163,PROD120,2,313.08,902.27,276.11
ORD100352,2024-08-14,CUST1184,PROD149,6,296.43,2330.25,551.67
ORD100353,2023-07-09,CUST1121,PROD143,3,349.16,1320.72,273.24
ORD100354,2023-04-12,CUST1172,PROD125,7,440.22,3876.12,794.58
ORD100355,2023-10-05,CUST1194,PROD115,2,225.84,507.07,55.39
ORD100356,2024-03-08,CUST1096,PROD124,7,339.74,2630.09,251.91
ORD100357,2023-02-06,CUST1092,PROD103,4,203.85,1139.46,324.06
ORD100358,2022-02-05,CUST1100,PROD108,7,264.86,2347.49,493.47
